time,gamma,concurrence
121.25,0.001,0
121.5,0.001,0
121.75,0.001,0
122.0,0.001,0
122.25,0.001,0
122.5,0.001,0
122.75,0.001,0
123.0,0.001,0
123.25,0.001,0
123.5,0.001,0
123.75,0.001,0
124.0,0.001,0
124.25,0.001,0
124.5,0.001,0
124.75,0.001,0
125.0,0.001,0
125.25,0.001,0
125.5,0.001,0
125.75,0.001,0
126.0,0.001,0
126.25,0.001,0
126.5,0.001,0
126.75,0.001,0
127.0,0.001,0
127.25,0.001,0
127.5,0.001,0
127.75,0.001,0
128.0,0.001,0
128.25,0.001,0
128.5,0.001,0
128.75,0.001,0
129.0,0.001,0
129.25,0.001,0
129.5,0.001,0
129.75,0.001,0
130.0,0.001,0
130.25,0.001,0
130.5,0.001,0
130.75,0.001,0
131.0,0.001,0
131.25,0.001,0
131.5,0.001,0
131.75,0.001,0
132.0,0.001,0
132.25,0.001,0
132.5,0.001,0
132.75,0.001,0
133.0,0.001,0
133.25,0.001,0
133.5,0.001,0
133.75,0.001,0
134.0,0.001,0
134.25,0.001,0
134.5,0.001,0
134.75,0.001,0
135.0,0.001,0
135.25,0.001,0
135.5,0.001,0
135.75,0.001,0
136.0,0.001,0
136.25,0.001,0
136.5,0.001,0
136.75,0.001,0
137.0,0.001,0
137.25,0.001,0
137.5,0.001,0
137.75,0.001,0
138.0,0.001,0
138.25,0.001,0
138.5,0.001,0
138.75,0.001,0
139.0,0.001,0
139.25,0.001,0
139.5,0.001,0
139.75,0.001,0
140.0,0.001,0
140.25,0.001,0
140.5,0.001,0
140.75,0.001,0
141.0,0.001,0
141.25,0.001,0
141.5,0.001,0
141.75,0.001,0
142.0,0.001,0
142.25,0.001,0
142.5,0.001,0
142.75,0.001,0
143.0,0.001,0
143.25,0.001,0
143.5,0.001,0
143.75,0.001,0
144.0,0.001,0
144.25,0.001,0
144.5,0.001,0
144.75,0.001,0
145.0,0.001,0
145.25,0.001,0
145.5,0.001,0
145.75,0.001,0
146.0,0.001,0
146.25,0.001,0
146.5,0.001,0
146.75,0.001,0
147.0,0.001,0
147.25,0.001,0
147.5,0.001,0
